county_fips,state_abbr,county_name,year,total_population
1001,AL,Autauga County,2020,58909
1001,AL,Autauga County,2021,59191
1001,AL,Autauga County,2022,59736
1001,AL,Autauga County,2023,60436
1001,AL,Autauga County,2024,61464
1003,AL,Baldwin County,2020,233244
1003,AL,Baldwin County,2021,239411
1003,AL,Baldwin County,2022,246577
1003,AL,Baldwin County,2023,254107
1003,AL,Baldwin County,2024,261608
1005,AL,Barbour County,2020,24975
1005,AL,Barbour County,2021,24517
1005,AL,Barbour County,2022,24722
1005,AL,Barbour County,2023,24644
1005,AL,Barbour County,2024,24358
1007,AL,Bibb County,2020,22176
1007,AL,Bibb County,2021,22344
1007,AL,Bibb County,2022,21983
1007,AL,Bibb County,2023,21890
1007,AL,Bibb County,2024,22258
1009,AL,Blount County,2020,59110
1009,AL,Blount County,2021,59050
1009,AL,Blount County,2022,59491
1009,AL,Blount County,2023,59777
1009,AL,Blount County,2024,60163
1011,AL,Bullock County,2020,10230
1011,AL,Bullock County,2021,10126
1011,AL,Bullock County,2022,10126
1011,AL,Bullock County,2023,9908
1011,AL,Bullock County,2024,9901
1013,AL,Butler County,2020,19027
1013,AL,Butler County,2021,18856
1013,AL,Butler County,2022,18652
1013,AL,Butler County,2023,18357
1013,AL,Butler County,2024,18256
1015,AL,Calhoun County,2020,116242
1015,AL,Calhoun County,2021,115633
1015,AL,Calhoun County,2022,115744
1015,AL,Calhoun County,2023,116403
1015,AL,Calhoun County,2024,116427
1017,AL,Chambers County,2020,34572
1017,AL,Chambers County,2021,34396
1017,AL,Chambers County,2022,34093
1017,AL,Chambers County,2023,34087
1017,AL,Chambers County,2024,33813
1019,AL,Cherokee County,2020,24981
1019,AL,Cherokee County,2021,25060
1019,AL,Cherokee County,2022,25334
1019,AL,Cherokee County,2023,25700
1019,AL,Cherokee County,2024,26138
1021,AL,Chilton County,2020,45060
1021,AL,Chilton County,2021,45255
1021,AL,Chilton County,2022,45856
1021,AL,Chilton County,2023,46525
1021,AL,Chilton County,2024,47262
1023,AL,Choctaw County,2020,12622
1023,AL,Choctaw County,2021,12544
1023,AL,Choctaw County,2022,12420
1023,AL,Choctaw County,2023,12263
1023,AL,Choctaw County,2024,12052
1025,AL,Clarke County,2020,22989
1025,AL,Clarke County,2021,22735
1025,AL,Clarke County,2022,22545
1025,AL,Clarke County,2023,22305
1025,AL,Clarke County,2024,22142
1027,AL,Clay County,2020,14210
1027,AL,Clay County,2021,14156
1027,AL,Clay County,2022,14198
1027,AL,Clay County,2023,14157
1027,AL,Clay County,2024,14239
1029,AL,Cleburne County,2020,15063
1029,AL,Cleburne County,2021,15151
1029,AL,Cleburne County,2022,15353
1029,AL,Cleburne County,2023,15658
1029,AL,Cleburne County,2024,15905
1031,AL,Coffee County,2020,53565
1031,AL,Coffee County,2021,54201
1031,AL,Coffee County,2022,54769
1031,AL,Coffee County,2023,55707
1031,AL,Coffee County,2024,56358
1033,AL,Colbert County,2020,57305
1033,AL,Colbert County,2021,57615
1033,AL,Colbert County,2022,58023
1033,AL,Colbert County,2023,58382
1033,AL,Colbert County,2024,58785
1035,AL,Conecuh County,2020,11551
1035,AL,Conecuh County,2021,11317
1035,AL,Conecuh County,2022,11220
1035,AL,Conecuh County,2023,11177
1035,AL,Conecuh County,2024,11109
1037,AL,Coosa County,2020,10340
1037,AL,Coosa County,2021,10321
1037,AL,Coosa County,2022,10283
1037,AL,Coosa County,2023,10267
1037,AL,Coosa County,2024,10291
1039,AL,Covington County,2020,37513
1039,AL,Covington County,2021,37512
1039,AL,Covington County,2022,37508
1039,AL,Covington County,2023,37861
1039,AL,Covington County,2024,37748
1041,AL,Crenshaw County,2020,13171
1041,AL,Crenshaw County,2021,13062
1041,AL,Crenshaw County,2022,13096
1041,AL,Crenshaw County,2023,13168
1041,AL,Crenshaw County,2024,13114
1043,AL,Cullman County,2020,88142
1043,AL,Cullman County,2021,89578
1043,AL,Cullman County,2022,90597
1043,AL,Cullman County,2023,91909
1043,AL,Cullman County,2024,92604
1045,AL,Dale County,2020,49260
1045,AL,Dale County,2021,49344
1045,AL,Dale County,2022,49472
1045,AL,Dale County,2023,49852
1045,AL,Dale County,2024,50067
1047,AL,Dallas County,2020,38185
1047,AL,Dallas County,2021,37496
1047,AL,Dallas County,2022,36772
1047,AL,Dallas County,2023,36294
1047,AL,Dallas County,2024,35545
1049,AL,DeKalb County,2020,71673
1049,AL,DeKalb County,2021,71880
1049,AL,DeKalb County,2022,72046
1049,AL,DeKalb County,2023,72626
1049,AL,DeKalb County,2024,73122
1051,AL,Elmore County,2020,87871
1051,AL,Elmore County,2021,88734
1051,AL,Elmore County,2022,89566
1051,AL,Elmore County,2023,90416
1051,AL,Elmore County,2024,91042
1053,AL,Escambia County,2020,36687
1053,AL,Escambia County,2021,36628
1053,AL,Escambia County,2022,36620
1053,AL,Escambia County,2023,36582
1053,AL,Escambia County,2024,36630
1055,AL,Etowah County,2020,103437
1055,AL,Etowah County,2021,102887
1055,AL,Etowah County,2022,102821
1055,AL,Etowah County,2023,103174
1055,AL,Etowah County,2024,103207
1057,AL,Fayette County,2020,16329
1057,AL,Fayette County,2021,16119
1057,AL,Fayette County,2022,16041
1057,AL,Fayette County,2023,15913
1057,AL,Fayette County,2024,15863
1059,AL,Franklin County,2020,32076
