county_fips,state_abbr,county_name,year,pop_65_plus
1001,AL,Autauga County,2024,11064
1003,AL,Baldwin County,2024,47089
1005,AL,Barbour County,2024,4384
1007,AL,Bibb County,2024,4006
1009,AL,Blount County,2024,10829
1011,AL,Bullock County,2024,1782
1013,AL,Butler County,2024,3286
1015,AL,Calhoun County,2024,20957
1017,AL,Chambers County,2024,6086
1019,AL,Cherokee County,2024,4705
1021,AL,Chilton County,2024,8507
1023,AL,Choctaw County,2024,2169
1025,AL,Clarke County,2024,3986
1027,AL,Clay County,2024,2563
1029,AL,Cleburne County,2024,2863
1031,AL,Coffee County,2024,10144
1033,AL,Colbert County,2024,10581
1035,AL,Conecuh County,2024,2000
1037,AL,Coosa County,2024,1852
1039,AL,Covington County,2024,6795
1041,AL,Crenshaw County,2024,2361
1043,AL,Cullman County,2024,16669
1045,AL,Dale County,2024,9012
1047,AL,Dallas County,2024,6398
1049,AL,DeKalb County,2024,13162
1051,AL,Elmore County,2024,16388
1053,AL,Escambia County,2024,6593
1055,AL,Etowah County,2024,18577
1057,AL,Fayette County,2024,2855
1059,AL,Franklin County,2024,5737
1061,AL,Geneva County,2024,4907
1063,AL,Greene County,2024,1283
1065,AL,Hale County,2024,2721
1067,AL,Henry County,2024,3265
1069,AL,Houston County,2024,19686
1071,AL,Jackson County,2024,9680
1073,AL,Jefferson County,2024,119654
1075,AL,Lamar County,2024,2438
1077,AL,Lauderdale County,2024,17550
1079,AL,Lawrence County,2024,6042
1081,AL,Lee County,2024,33812
1083,AL,Limestone County,2024,21410
1085,AL,Lowndes County,2024,1707
1087,AL,Macon County,2024,3269
1089,AL,Madison County,2024,76204
1091,AL,Marengo County,2024,3332
1093,AL,Marion County,2024,5278
1095,AL,Marshall County,2024,18388
1097,AL,Mobile County,2024,74221
1099,AL,Monroe County,2024,3430
1101,AL,Montgomery County,2024,40661
1103,AL,Morgan County,2024,22695
1105,AL,Perry County,2024,1389
1107,AL,Pickens County,2024,3331
1109,AL,Pike County,2024,5962
1111,AL,Randolph County,2024,4152
1113,AL,Russell County,2024,10591
1115,AL,St. Clair County,2024,17447
1117,AL,Shelby County,2024,42474
1119,AL,Sumter County,2024,2089
1121,AL,Talladega County,2024,14648
1123,AL,Tallapoosa County,2024,7326
1125,AL,Tuscaloosa County,2024,43418
1127,AL,Walker County,2024,11747
1129,AL,Washington County,2024,2703
1131,AL,Wilcox County,2024,1776
1133,AL,Winston County,2024,4296
2013,AK,Aleutians East Borough,2024,454
2016,AK,Aleutians West Census Area,2024,678
2020,AK,Anchorage Municipality,2024,36200
2050,AK,Bethel Census Area,2024,2280
2060,AK,Bristol Bay Borough,2024,110
2063,AK,Chugach Census Area,2024,826
2066,AK,Copper River Census Area,2024,329
2068,AK,Denali Borough,2024,203
2070,AK,Dillingham Census Area,2024,580
2090,AK,Fairbanks North Star Borough,2024,11869
2100,AK,Haines Borough,2024,263
2105,AK,Hoonah-Angoon Census Area,2024,289
2110,AK,Juneau City and Borough,2024,3946
2122,AK,Kenai Peninsula Borough,2024,7657
2130,AK,Ketchikan Gateway Borough,2024,1710
2150,AK,Kodiak Island Borough,2024,1582
2158,AK,Kusilvak Census Area,2024,993
2164,AK,Lake and Peninsula Borough,2024,164
2170,AK,Matanuska-Susitna Borough,2024,14702
2180,AK,Nome Census Area,2024,1230
2185,AK,North Slope Borough,2024,1333
2188,AK,Northwest Arctic Borough,2024,892
2195,AK,Petersburg Borough,2024,430
2198,AK,Prince of Wales-Hyder Census Area,2024,718
2220,AK,Sitka City and Borough,2024,1044
2230,AK,Skagway Municipality,2024,140
2240,AK,Southeast Fairbanks Census Area,2024,914
2275,AK,Wrangell City and Borough,2024,258
2282,AK,Yakutat City and Borough,2024,86
2290,AK,Yukon-Koyukuk Census Area,2024,637
4001,AZ,Apache County,2024,12182
4003,AZ,Cochise County,2024,23645
4005,AZ,Coconino County,2024,27290
4007,AZ,Gila County,2024,10166
4009,AZ,Graham County,2024,7565
4011,AZ,Greenlee County,2024,1769
4012,AZ,La Paz County,2024,3194
4013,AZ,Maricopa County,2024,526472
4015,AZ,Mohave County,2024,42578
4017,AZ,Navajo County,2024,20589
4019,AZ,Pima County,2024,203068
4021,AZ,Pinal County,2024,96606
4023,AZ,Santa Cruz County,2024,9496
4025,AZ,Yavapai County,2024,47378
4027,AZ,Yuma County,2024,41418
5001,AR,Arkansas County,2024,2809
5003,AR,Ashley County,2024,3147
5005,AR,Baxter County,2024,7526
5007,AR,Benton County,2024,56274
5009,AR,Boone County,2024,6761
5011,AR,Bradley County,2024,1739
5013,AR,Calhoun County,2024,821
5015,AR,Carroll County,2024,5069
5017,AR,Chicot County,2024,1623
5019,AR,Clark County,2024,3661
5021,AR,Clay County,2024,2470
5023,AR,Cleburne County,2024,4488
5025,AR,Cleveland County,2024,1289
5027,AR,Columbia County,2024,3854
5029,AR,Conway County,2024,3749
5031,AR,Craighead County,2024,20274
5033,AR,Crawford County,2024,10895
5035,AR,Crittenden County,2024,8161
5037,AR,Cross County,2024,2834
5039,AR,Dallas County,2024,1063
5041,AR,Desha County,2024,1806
5043,AR,Drew County,2024,2964
5045,AR,Faulkner County,2024,23032
5047,AR,Franklin County,2024,3078
5049,AR,Fulton County,2024,2196
5051,AR,Garland County,2024,17483
5053,AR,Grant County,2024,3246
5055,AR,Greene County,2024,8212
5057,AR,Hempstead County,2024,3343
5059,AR,Hot Spring County,2024,5830
5061,AR,Howard County,2024,2168
5063,AR,Independence County,2024,6710
5065,AR,Izard County,2024,2501
5067,AR,Jackson County,2024,2918
5069,AR,Jefferson County,2024,11143
5071,AR,Johnson County,2024,4580
5073,AR,Lafayette County,2024,1053
5075,AR,Lawrence County,2024,2853
5077,AR,Lee County,2024,1418
5079,AR,Lincoln County,2024,2252
5081,AR,Little River County,2024,2035
5083,AR,Logan County,2024,3755
5085,AR,Lonoke County,2024,13368
5087,AR,Madison County,2024,3126
5089,AR,Marion County,2024,3079
5091,AR,Miller County,2024,7343
5093,AR,Mississippi County,2024,6667
5095,AR,Monroe County,2024,1123
5097,AR,Montgomery County,2024,1489
5099,AR,Nevada County,2024,1401
5101,AR,Newton County,2024,1230
5103,AR,Ouachita County,2024,3795
5105,AR,Perry County,2024,1794
5107,AR,Phillips County,2024,2566
5109,AR,Pike County,2024,1755
5111,AR,Poinsett County,2024,3902
5113,AR,Polk County,2024,3401
5115,AR,Pope County,2024,11345
5117,AR,Prairie County,2024,1389
5119,AR,Pulaski County,2024,70212
5121,AR,Randolph County,2024,3332
5123,AR,St. Francis County,2024,3819
5125,AR,Saline County,2024,22969
5127,AR,Scott County,2024,1721
5129,AR,Searcy County,2024,1371
5131,AR,Sebastian County,2024,22756
5133,AR,Sevier County,2024,2754
5135,AR,Sharp County,2024,3173
5137,AR,Stone County,2024,2237
5139,AR,Union County,2024,6476
5141,AR,Van Buren County,2024,2827
5143,AR,Washington County,2024,46582
5145,AR,White County,2024,13841
5147,AR,Woodruff County,2024,1016
5149,AR,Yell County,2024,3523
6001,CA,Alameda County,2024,250657
6003,CA,Alpine County,2024,167
6005,CA,Amador County,2024,6388
6007,CA,Butte County,2024,31667
6009,CA,Calaveras County,2024,7069
6011,CA,Colusa County,2024,3355
6013,CA,Contra Costa County,2024,178236
6015,CA,Del Norte County,2024,4105
6017,CA,El Dorado County,2024,29309
6019,CA,Fresno County,2024,155667
6021,CA,Glenn County,2024,4302
6023,CA,Humboldt County,2024,20122
6025,CA,Imperial County,2024,27622
6027,CA,Inyo County,2024,2810
6029,CA,Kern County,2024,140224
6031,CA,Kings County,2024,23547
6033,CA,Lake County,2024,10300
6035,CA,Lassen County,2024,4308
6037,CA,Los Angeles County,2024,526472
6039,CA,Madera County,2024,25146
6041,CA,Marin County,2024,38973
6043,CA,Mariposa County,2024,2591
6045,CA,Mendocino County,2024,13555
6047,CA,Merced County,2024,45110
6049,CA,Modoc County,2024,1291
6051,CA,Mono County,2024,1975
6053,CA,Monterey County,2024,66310
6055,CA,Napa County,2024,20175
6057,CA,Nevada County,2024,15534
6059,CA,Orange County,2024,481906
6061,CA,Placer County,2024,65941
6063,CA,Plumas County,2024,2863
6065,CA,Riverside County,2024,384550
6067,CA,Sacramento County,2024,244907
6069,CA,San Benito County,2024,10512
6071,CA,San Bernardino County,2024,336571
6073,CA,San Diego County,2024,501417
6075,CA,San Francisco County,2024,125784
6077,CA,San Joaquin County,2024,124048
6079,CA,San Luis Obispo County,2024,42840
6081,CA,San Mateo County,2024,112920
6083,CA,Santa Barbara County,2024,67564
6085,CA,Santa Clara County,2024,292801
6087,CA,Santa Cruz County,2024,39886
6089,CA,Shasta County,2024,27530
6091,CA,Sierra County,2024,473
6093,CA,Siskiyou County,2024,6460
6095,CA,Solano County,2024,69175
6097,CA,Sonoma County,2024,73777
6099,CA,Stanislaus County,2024,84660
6101,CA,Sutter County,2024,14979
6103,CA,Tehama County,2024,9797
6105,CA,Trinity County,2024,2378
6107,CA,Tulare County,2024,73499
6109,CA,Tuolumne County,2024,8192
6111,CA,Ventura County,2024,126985
6113,CA,Yolo County,2024,34238
6115,CA,Yuba County,2024,13295
8001,CO,Adams County,2024,81989
8003,CO,Alamosa County,2024,2520
8005,CO,Arapahoe County,2024,100705
8007,CO,Archuleta County,2024,2131
8009,CO,Baca County,2024,508
8011,CO,Bent County,2024,873
8013,CO,Boulder County,2024,49870
8014,CO,Broomfield County,2024,11827
8015,CO,Chaffee County,2024,3138
8017,CO,Cheyenne County,2024,259
8019,CO,Clear Creek County,2024,1370
8021,CO,Conejos County,2024,1140
8023,CO,Costilla County,2024,557
8025,CO,Crowley County,2024,846
8027,CO,Custer County,2024,839
8029,CO,Delta County,2024,4864
8031,CO,Denver County,2024,110082
8033,CO,Dolores County,2024,373
8035,CO,Douglas County,2024,59493
8037,CO,Eagle County,2024,8204
8039,CO,Elbert County,2024,4437
8041,CO,El Paso County,2024,113669
8043,CO,Fremont County,2024,7564
8045,CO,Garfield County,2024,9538
8047,CO,Gilpin County,2024,900
8049,CO,Grand County,2024,2439
8051,CO,Gunnison County,2024,2614
8053,CO,Hinsdale County,2024,113
8055,CO,Huerfano County,2024,1055
8057,CO,Jackson County,2024,192
8059,CO,Jefferson County,2024,87358
8061,CO,Kiowa County,2024,210
8063,CO,Kit Carson County,2024,1069
8065,CO,Lake County,2024,1113
8067,CO,La Plata County,2024,8580
8069,CO,Larimer County,2024,56561
8071,CO,Las Animas County,2024,2192
8073,CO,Lincoln County,2024,845
8075,CO,Logan County,2024,3134
8077,CO,Mesa County,2024,24350
8079,CO,Mineral County,2024,141
8081,CO,Moffat County,2024,1984
8083,CO,Montezuma County,2024,4053
8085,CO,Montrose County,2024,6766
8087,CO,Morgan County,2024,4575
8089,CO,Otero County,2024,2717
8091,CO,Ouray County,2024,785
8093,CO,Park County,2024,2766
8095,CO,Phillips County,2024,678
8097,CO,Pitkin County,2024,2513
8099,CO,Prowers County,2024,1806
8101,CO,Pueblo County,2024,25650
8103,CO,Rio Blanco County,2024,998
8105,CO,Rio Grande County,2024,1681
8107,CO,Routt County,2024,3812
8109,CO,Saguache County,2024,1007
8111,CO,San Juan County,2024,124
8113,CO,San Miguel County,2024,1181
8115,CO,Sedgwick County,2024,341
8117,CO,Summit County,2024,4663
8119,CO,Teller County,2024,3754
8121,CO,Washington County,2024,720
8123,CO,Weld County,2024,55831
8125,CO,Yuma County,2024,1517
9110,CT,Capitol Planning Region,2024,178471
9120,CT,Greater Bridgeport Planning Region,2024,60420
9130,CT,Lower Connecticut River Valley Planning Region,2024,31957
9140,CT,Naugatuck Valley Planning Region,2024,83200
9150,CT,Northeastern Connecticut Planning Region,2024,17586
9160,CT,Northwest Hills Planning Region,2024,20538
9170,CT,South Central Connecticut Planning Region,2024,103809
9180,CT,Southeastern Connecticut Planning Region,2024,50868
9190,CT,Western Connecticut Planning Region,2024,114662
10001,DE,Kent County,2024,37189
10003,DE,New Castle County,2024,113502
10005,DE,Sussex County,2024,52329
11001,DC,District of Columbia,2024,100422
12001,FL,Alachua County,2024,63608
12003,FL,Baker County,2024,6393
12005,FL,Bay County,2024,43539
12007,FL,Bradford County,2024,6120
12009,FL,Brevard County,2024,143541
12011,FL,Broward County,2024,444169
12013,FL,Calhoun County,2024,2895
12015,FL,Charlotte County,2024,46243
12017,FL,Citrus County,2024,37098
12019,FL,Clay County,2024,51614
12021,FL,Collier County,2024,90739
12023,FL,Columbia County,2024,16127
12027,FL,DeSoto County,2024,8010
12029,FL,Dixie County,2024,3840
12031,FL,Duval County,2024,230025
12033,FL,Escambia County,2024,72218
12035,FL,Flagler County,2024,29810
12037,FL,Franklin County,2024,2829
12039,FL,Gadsden County,2024,9625
12041,FL,Gilchrist County,2024,4411
12043,FL,Glades County,2024,2863
12045,FL,Gulf County,2024,3461
12047,FL,Hamilton County,2024,3125
12049,FL,Hardee County,2024,5683
12051,FL,Hendry County,2024,10056
12053,FL,Hernando County,2024,47557
12055,FL,Highlands County,2024,23932
12057,FL,Hillsborough County,2024,344751
12059,FL,Holmes County,2024,4333
12061,FL,Indian River County,2024,37526
12063,FL,Jackson County,2024,10896
12065,FL,Jefferson County,2024,3471
12067,FL,Lafayette County,2024,1884
12069,FL,Lake County,2024,96836
12071,FL,Lee County,2024,187689
12073,FL,Leon County,2024,65506
12075,FL,Levy County,2024,10413
12077,FL,Liberty County,2024,1734
12079,FL,Madison County,2024,4003
12081,FL,Manatee County,2024,99921
12083,FL,Marion County,2024,93501
12085,FL,Martin County,2024,36115
12086,FL,Miami-Dade County,2024,526472
12087,FL,Monroe County,2024,17638
12089,FL,Nassau County,2024,22754
12091,FL,Okaloosa County,2024,48065
12093,FL,Okeechobee County,2024,9236
12095,FL,Orange County,2024,334335
12097,FL,Osceola County,2024,102037
12099,FL,Palm Beach County,2024,344888
12101,FL,Pasco County,2024,143687
12103,FL,Pinellas County,2024,210560
12105,FL,Polk County,2024,185927
12107,FL,Putnam County,2024,16852
12109,FL,St. Johns County,2024,73014
12111,FL,St. Lucie County,2024,85166
12113,FL,Santa Rosa County,2024,45268
12115,FL,Sarasota County,2024,103900
12117,FL,Seminole County,2024,107824
12119,FL,Sumter County,2024,33723
12121,FL,Suwannee County,2024,10363
12123,FL,Taylor County,2024,4762
12125,FL,Union County,2024,3431
12127,FL,Volusia County,2024,131404
12129,FL,Wakulla County,2024,8091
12131,FL,Walton County,2024,19547
12133,FL,Washington County,2024,5778
13001,GA,Appling County,2024,2894
13003,GA,Atkinson County,2024,1307
13005,GA,Bacon County,2024,1712
13007,GA,Baker County,2024,423
13009,GA,Baldwin County,2024,6765
13011,GA,Banks County,2024,3149
13013,GA,Barrow County,2024,14926
13015,GA,Bartow County,2024,18214
13017,GA,Ben Hill County,2024,2626
13019,GA,Berrien County,2024,2893
13021,GA,Bibb County,2024,24344
13023,GA,Bleckley County,2024,1957
13025,GA,Brantley County,2024,2913
13027,GA,Brooks County,2024,2533
13029,GA,Bryan County,2024,7921
13031,GA,Bulloch County,2024,13245
13033,GA,Burke County,2024,3793
13035,GA,Butts County,2024,4205
13037,GA,Calhoun County,2024,843
13039,GA,Camden County,2024,9160
13043,GA,Candler County,2024,1725
13045,GA,Carroll County,2024,20136
13047,GA,Catoosa County,2024,10686
13049,GA,Charlton County,2024,2018
13051,GA,Chatham County,2024,47637
13053,GA,Chattahoochee County,2024,1325
13055,GA,Chattooga County,2024,3922
13057,GA,Cherokee County,2024,45495
13059,GA,Clarke County,2024,20149
13061,GA,Clay County,2024,436
13063,GA,Clayton County,2024,46144
13065,GA,Clinch County,2024,1065
13067,GA,Cobb County,2024,122068
13069,GA,Coffee County,2024,6797
13071,GA,Colquitt County,2024,7281
13073,GA,Columbia County,2024,25958
13075,GA,Cook County,2024,2788
13077,GA,Coweta County,2024,24526
13079,GA,Crawford County,2024,1914
13081,GA,Crisp County,2024,3018
