county_fips,state_abbr,county_name,county_name_norm,facility_count,certified_beds,avg_residents,avg_overall_rating,beds_per_facility_avg
01001,AL,Autauga County,AUTAUGA,1,162,158.0,1.0,162.0
01003,AL,Baldwin County,BALDWIN,7,772,550.8,2.86,110.29
01005,AL,Barbour County,BARBOUR,1,180,155.8,3.0,180.0
01007,AL,Bibb County,BIBB,1,131,107.5,1.0,131.0
01009,AL,Blount County,BLOUNT,2,223,207.4,2.0,111.5
01011,AL,Bullock County,BULLOCK,1,123,93.9,5.0,123.0
01013,AL,Butler County,BUTLER,2,209,173.1,4.0,104.5
01015,AL,Calhoun County,CALHOUN,5,667,554.0,3.2,133.4
01017,AL,Chambers County,CHAMBERS,4,320,281.6,3.0,80.0
01019,AL,Cherokee County,CHEROKEE,1,185,161.2,2.0,185.0
01021,AL,Chilton County,CHILTON,1,201,90.6,4.0,201.0
01023,AL,Choctaw County,CHOCTAW,1,120,67.8,5.0,120.0
01025,AL,Clarke County,CLARKE,2,171,155.3,4.5,85.5
01027,AL,Clay County,CLAY,2,184,163.9,4.5,92.0
01029,AL,Cleburne County,CLEBURNE,1,82,74.4,5.0,82.0
01031,AL,Coffee County,COFFEE,2,368,245.6,1.5,184.0
01033,AL,Colbert County,COLBERT,3,302,236.1,5.0,100.67
01035,AL,Conecuh County,CONECUH,1,61,52.9,4.0,61.0
01037,AL,Coosa County,COOSA,1,72,62.0,5.0,72.0
01039,AL,Covington County,COVINGTON,3,436,333.5,3.33,145.33
01041,AL,Crenshaw County,CRENSHAW,1,151,138.5,4.0,151.0
01043,AL,Cullman County,CULLMAN,4,554,508.5,3.0,138.5
01045,AL,Dale County,DALE,2,287,239.4,3.5,143.5
01047,AL,Dallas County,DALLAS,3,343,273.8,2.67,114.33
01051,AL,Elmore County,ELMORE,4,421,373.2,2.25,105.25
01053,AL,Escambia County,ESCAMBIA,2,225,177.8,5.0,112.5
01055,AL,Etowah County,ETOWAH,6,848,618.0,3.33,141.33
01057,AL,Fayette County,FAYETTE,1,122,103.9,5.0,122.0
01059,AL,Franklin County,FRANKLIN,4,260,208.0,2.5,65.0
01061,AL,Geneva County,GENEVA,2,182,146.0,4.5,91.0
01063,AL,Greene County,GREENE,1,72,37.5,1.0,72.0
01065,AL,Hale County,HALE,2,165,143.5,4.5,82.5
01067,AL,Henry County,HENRY,1,142,81.6,4.0,142.0
01069,AL,Houston County,HOUSTON,3,501,470.3,2.33,167.0
01071,AL,Jackson County,JACKSON,3,291,251.8,3.67,97.0
01073,AL,Jefferson County,JEFFERSON,34,3963,3338.9,2.12,116.56
01075,AL,Lamar County,LAMAR,1,158,120.7,1.0,158.0
01077,AL,Lauderdale County,LAUDERDALE,5,612,541.0,3.0,122.4
01079,AL,Lawrence County,LAWRENCE,1,136,109.3,5.0,136.0
01081,AL,Lee County,LEE,2,312,210.4,2.5,156.0
01083,AL,Limestone County,LIMESTONE,2,319,278.1,4.0,159.5
