county_fips,state_abbr,county_name,county_name_norm,year,total_population,pop_65_plus,pct_pop_65_plus
01001,AL,Autauga County,AUTAUGA,2020,58909,10604,0.180006
01001,AL,Autauga County,AUTAUGA,2021,59191,10655,0.18001
01001,AL,Autauga County,AUTAUGA,2022,59736,10753,0.180009
01001,AL,Autauga County,AUTAUGA,2023,60436,10879,0.180009
01001,AL,Autauga County,AUTAUGA,2024,61464,11064,0.180008
01003,AL,Baldwin County,BALDWIN,2020,233244,41984,0.18
01003,AL,Baldwin County,BALDWIN,2021,239411,43094,0.18
01003,AL,Baldwin County,BALDWIN,2022,246577,44383,0.179997
01003,AL,Baldwin County,BALDWIN,2023,254107,45739,0.179999
01003,AL,Baldwin County,BALDWIN,2024,261608,47089,0.179998
01005,AL,Barbour County,BARBOUR,2020,24975,4495,0.17998
01005,AL,Barbour County,BARBOUR,2021,24517,4413,0.179998
01005,AL,Barbour County,BARBOUR,2022,24722,4450,0.180002
01005,AL,Barbour County,BARBOUR,2023,24644,4435,0.179963
01005,AL,Barbour County,BARBOUR,2024,24358,4384,0.179982
01007,AL,Bibb County,BIBB,2020,22176,3991,0.179969
01007,AL,Bibb County,BIBB,2021,22344,4021,0.179959
01007,AL,Bibb County,BIBB,2022,21983,3957,0.180003
01007,AL,Bibb County,BIBB,2023,21890,3940,0.179991
01007,AL,Bibb County,BIBB,2024,22258,4006,0.17998
01009,AL,Blount County,BLOUNT,2020,59110,10639,0.179986
01009,AL,Blount County,BLOUNT,2021,59050,10629,0.18
01009,AL,Blount County,BLOUNT,2022,59491,10708,0.179994
01009,AL,Blount County,BLOUNT,2023,59777,10760,0.180002
01009,AL,Blount County,BLOUNT,2024,60163,10829,0.179994
01011,AL,Bullock County,BULLOCK,2020,10230,1841,0.179961
01011,AL,Bullock County,BULLOCK,2021,10126,1822,0.179933
01011,AL,Bullock County,BULLOCK,2022,10126,1822,0.179933
01011,AL,Bullock County,BULLOCK,2023,9908,1783,0.179956
01011,AL,Bullock County,BULLOCK,2024,9901,1782,0.179982
01013,AL,Butler County,BUTLER,2020,19027,3425,0.180007
01013,AL,Butler County,BUTLER,2021,18856,3394,0.179996
01013,AL,Butler County,BUTLER,2022,18652,3357,0.179981
01013,AL,Butler County,BUTLER,2023,18357,3304,0.179986
01013,AL,Butler County,BUTLER,2024,18256,3286,0.179996
01015,AL,Calhoun County,CALHOUN,2020,116242,20924,0.180004
01015,AL,Calhoun County,CALHOUN,2021,115633,20814,0.180001
01015,AL,Calhoun County,CALHOUN,2022,115744,20834,0.180001
01015,AL,Calhoun County,CALHOUN,2023,116403,20953,0.180004
01015,AL,Calhoun County,CALHOUN,2024,116427,20957,0.180001
01017,AL,Chambers County,CHAMBERS,2020,34572,6223,0.180001
01017,AL,Chambers County,CHAMBERS,2021,34396,6191,0.179992
01017,AL,Chambers County,CHAMBERS,2022,34093,6136,0.179978
01017,AL,Chambers County,CHAMBERS,2023,34087,6135,0.179981
01017,AL,Chambers County,CHAMBERS,2024,33813,6086,0.17999
01019,AL,Cherokee County,CHEROKEE,2020,24981,4497,0.180017
01019,AL,Cherokee County,CHEROKEE,2021,25060,4511,0.180008
01019,AL,Cherokee County,CHEROKEE,2022,25334,4560,0.179995
