ccn,facility_name,county_fips,state_abbr,county_name,county_name_norm,zip_code,certified_beds,avg_residents,overall_rating,latitude,longitude
015009,"BURNS NURSING HOME, INC.",,AL,Franklin,FRANKLIN,35653,57,52.4,2,34.5149,-87.736
015010,COOSA VALLEY HEALTHCARE CENTER,,AL,Talladega,TALLADEGA,35150,85,78.2,5,33.1637,-86.254
015012,HIGHLANDS HEALTH AND REHAB,,AL,Jackson,JACKSON,35768,50,45.3,5,34.6611,-86.047
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,,AL,Jefferson,JEFFERSON,35206,92,70.2,3,33.5595,-86.722
015015,PLANTATION MANOR NURSING HOME,,AL,Jefferson,JEFFERSON,35111,103,97.8,3,33.3222,-87.034
015016,ATHENS HEALTH AND REHABILITATION LLC,,AL,Limestone,LIMESTONE,35611,149,138.7,5,34.8035,-86.977
015019,MERRY WOOD LODGE,,AL,Elmore,ELMORE,36025,124,95.4,1,32.5582,-86.323
015023,HATLEY HEALTH CARE INC,,AL,Chilton,CHILTON,35045,201,90.6,4,32.8548,-86.625
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",,AL,Limestone,LIMESTONE,35611,170,139.4,3,34.8053,-86.991
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",,AL,Elmore,ELMORE,36092,121,116.7,1,32.5584,-86.221
015028,KELLER LANDING,,AL,Colbert,COLBERT,35674,109,75.9,5,34.7419,-87.706
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,,AL,Lauderdale,LAUDERDALE,35631,222,192.1,3,34.8082,-87.687
015032,DIVERSICARE OF FOLEY,,AL,Baldwin,BALDWIN,36535,154,121.5,1,30.4269,-87.685
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",,AL,Tuscaloosa,TUSCALOOSA,35473,78,72.3,3,33.2375,-87.565
015035,WEST GATE VILLAGE,,AL,Escambia,ESCAMBIA,36427,125,94.6,5,31.1079,-87.071
015040,DIVERSICARE OF MONTGOMERY,,AL,Montgomery,MONTGOMERY,36106,138,107.7,2,32.3595,-86.279
015042,"SUMTER HEALTH AND REHABILITATION, L L C",,AL,Sumter,SUMTER,36925,125,102.3,3,32.4948,-88.286
015044,"CAREGIVERS OF PLEASANT GROVE, INC",,AL,Jefferson,JEFFERSON,35127,64,53.3,1,33.4878,-86.956
015045,EAMC LANIER NURSING HOME,,AL,Chambers,CHAMBERS,36854,103,86.7,3,32.8251,-85.171
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",,AL,Jefferson,JEFFERSON,35234,113,107.3,2,33.5335,-86.809
015048,CULLMAN HEALTH CARE CENTER,,AL,Cullman,CULLMAN,35055,95,90.2,2,34.1921,-86.847
